物品ID,GroupID,名字,物品类,物品小类,使用国籍,使用职业,使用职业分支,使用等级,天境等级,叠放数量,买入基础价格,卖出基础价格,基础物品档次,拾取后广播标志,拥有最多个数,能否放快捷栏,绑定标志位,使用期限,死亡掉落固定概率,物品栏图片_正常,物品栏图片_高亮,物品栏图片_无效,物品图标光效ID,宝箱外观资源ID,宝箱闪烁资源ID,是否任务物品,描述,任务物品丢弃时可以配置,使用次数,作用id,浮动提示,是否需要掷骰子,是否同步扩展数据,怪物掉装的音效ID,跨服海盗,物品价值/礼包售价,价值类型0普通1礼包2绑金,家园仓库0不可1可
int,int,string,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,string,string,int,int,string,int,int,int,int,int,int,int
2000,2000,跌打药,2,1,0,10000,10000,1,,100,2,1,1,0,0,1,126,0,0,1233,1233,1233,0,4420,1008,0,市井常见疗伤类药物，物美价廉。多为街头小混混喜欢<br><br><br><br><br>[blue]使用后每2秒恢复35点生命值，一共持续10秒[/blue]<br><br><br><br>[yellow]可在杂货商处购买得到[/yellow],,1,2001,,0,0,0,1,1,0,0
2001,2001,金创药,2,1,0,10000,10000,10,,100,4,2,1,0,0,1,126,0,0,1232,1232,1232,0,4420,1008,0,长途跋涉必备疗伤类药物，多为镖师等人大力推荐<br><br><br><br><br>[blue]使用后每2秒恢复35点生命值，一共持续10秒[/blue]<br><br><br><br>[yellow]可在杂货商处购买得到[/yellow],,1,2001,,0,0,0,1,1,0,0
2002,2002,行军药,2,1,0,10000,10000,20,,100,6,3,1,0,0,1,126,0,0,1234,1234,1234,0,4420,1008,0,行军打仗的士兵必备药品之一，可迅速医治普通伤<br><br><br><br><br>[blue]使用后每2秒恢复50点生命值，一共持续10秒[/blue]<br><br><br><br>[yellow]可在杂货商处购买得到[/yellow],,1,2003,,0,0,0,1,1,0,0
2003,2003,止血药,2,1,0,10000,10000,30,,100,10,4,1,0,0,1,126,0,0,1235,1235,1235,0,4420,1008,0,长途跋涉必备止血药物，多为江湖卖艺之人使用<br><br><br><br><br>[blue]使用后每2秒恢复50点生命值，一共持续10秒[/blue]<br><br><br><br>[yellow]可在杂货商处购买得到[/yellow],,1,2003,,0,0,0,1,1,0,0
2004,2004,千金露,2,1,0,10000,10000,40,,100,15,5,1,0,0,1,126,0,0,1227,1227,1227,0,4420,1008,0,据《神农本草经》所述，采用常见草药制作而成，可较为快速地将小伤口的血流止住<br><br><br><br><br>[blue]使用后每2秒恢复75点生命值，一共持续10秒[/blue]<br><br><br><br>[yellow]可在杂货商处购买得到[/yellow],,1,2004,,0,0,0,1,1,0,0
2005,2005,白云露,2,1,0,10000,10000,50,,100,20,6,1,0,0,1,126,0,0,1226,1226,1226,0,4420,1008,0,以上好中草药调合长白山云雾泉的泉水制成，能有效地治疗伤痛<br><br><br><br><br>[blue]使用后每2秒恢复110点生命值，一共持续10秒[/blue]<br><br><br><br>[yellow]可在杂货商处购买得到[/yellow],,1,2005,,0,0,0,1,1,0,0
2006,2006,续命露,2,1,0,10000,10000,1,,9999,35,10,1,0,0,1,126,0,0,1228,1228,1228,0,4420,1008,0,以人参、三七等八种珍贵的药物，九蒸九晒，制成的起死回生的药丸<br><br><br><br><br>[blue]使用后每2秒恢复160点生命值，一共持续10秒[/blue]<br><br><br><br>[yellow]可在杂货商处购买得到[/yellow],,1,2006,,0,0,0,1,1,0,0
2007,2007,三黄宝腊露,2,1,0,10000,10000,70,,9999,60,15,1,0,0,1,126,0,0,1231,1231,1231,0,4420,1008,0,以珍贵药材，配以“三黄”精炼而成，可迅速调解气息，加快治疗自身伤痛<br><br><br><br><br>[blue]使用后每2秒恢复220点生命值，一共持续10秒[/blue]<br><br><br><br>[yellow]可在杂货商处购买得到[/yellow],,1,2007,,0,0,0,1,1,0,0
2008,2008,通犀地龙露,2,1,0,10000,10000,80,,9999,80,20,1,0,0,1,126,0,0,1229,1229,1229,0,4420,1008,0,迅速使经脉气息流通顺畅，解除一切疲劳之感，使其精神焕发，有效地治愈伤痛<br><br><br><br><br>[blue]使用后每2秒恢复300点生命值，一共持续10秒[/blue]<br><br><br><br>[yellow]可在杂货商处购买得到[/yellow],,1,2008,,0,0,0,1,1,0,0
2009,2009,白云熊胆露,2,1,0,10000,10000,90,,9999,115,25,1,0,0,1,126,0,0,1230,1230,1230,0,4420,1008,0,用名贵的熊胆调合长白山云雾泉的泉水制成，能够很快地治愈伤痛<br><br><br><br><br>[blue]使用后每2秒恢复400点生命值，一共持续10秒[/blue]<br><br><br><br>[yellow]可在杂货商处购买得到[/yellow],,1,2009,,0,0,0,1,1,0,0
2010,2010,天香断续露,2,1,0,10000,10000,100,,9999,150,30,1,0,0,1,126,0,0,1236,1236,1236,0,4420,1008,0,降妖伏魔的修真之人的护身法宝之一，一药在手，流血不愁<br><br><br><br><br>[blue]使用后每2秒恢复530点生命值，一共持续10秒[/blue]<br><br><br><br>[yellow]可在杂货商处购买得到[/yellow],,1,2010,,0,0,0,1,1,0,0
2011,2011,寒玉冰蟾露,2,1,0,10000,10000,110,,9999,195,40,1,0,0,1,126,0,0,1237,1237,1237,0,4420,1008,0,采用天下至阴至寒之物冰蟾为主料所制成，能迅速冻结伤口，有效地止住流血，并迅速治愈伤痛<br><br><br><br><br>[blue]使用后每2秒恢复690点生命值，一共持续10秒[/blue]<br><br><br><br>[yellow]可在杂货商处购买得到[/yellow],,1,2011,,0,0,0,1,1,0,0
2012,2012,紫玉仙露,2,1,0,10000,10000,120,,9999,10000,5000,1,0,0,1,126,0,0,7590,7590,7590,0,4420,1008,0,采用万年紫玉髓为主料所制成，能迅速治愈伤口，快速回复生命<br><br><br><br><br>[blue]使用后每2秒恢复1200点生命值，一共持续10秒[/blue]<br><br><br><br>[yellow]可在杂货商处购买得到[/yellow],,1,2012,,0,0,0,1,1,0,0
2016,2016,天仙玉露,2,1,0,10000,10000,121,,9999,1000,50,1,0,0,1,126,0,0,1259,1259,1259,0,4420,1008,0,传说中此乃天外之物，为上仙所制，能治愈伤口，回复生命，有起死回生之效<br><br><br><br><br>[blue]使用后每2秒恢复1000点生命值，一共持续10秒[/blue]<br><br><br><br>[yellow]可在杂货商处购买得到[/yellow],,1,2016,,0,0,0,1,1,0,0
2017,2017,菩提凝冰露,2,1,0,10000,10000,129,,9999,18000,9000,1,0,0,1,126,0,0,7591,7591,7591,0,4420,1008,0,相传此乃菩提老祖留下来的秘药，可调息人体气血经脉，迅速治愈伤口，快速回复生命<br><br><br><br><br>[blue]使用后每2秒恢复1800点生命值，一共持续10秒[/blue]<br><br><br><br>[yellow]可在杂货商处购买得到[/yellow],,1,2017,,0,0,0,1,1,0,0
2030,2030,小还丹,2,1,0,10000,10000,1,,100,2,1,1,0,0,1,126,0,0,1247,1247,1247,0,4418,1008,0,可略为恢复损耗的法力，寻常药店处均有销售<br><br><br><br><br>[blue]使用后每2秒恢复40点法力值，一共持续10秒[/blue]<br><br><br><br>[yellow]可在杂货商处购买得到[/yellow],,1,2031,,0,0,0,1,1,0,0
2031,2031,全生丹,2,1,0,10000,10000,10,,100,4,2,1,0,0,1,126,0,0,1249,1249,1249,0,4418,1008,0,造价低廉，普通药铺均有销售，治疗气血不调、恢复法力有一定帮助<br><br><br><br><br>[blue]使用后每2秒恢复40点法力值，一共持续10秒[/blue]<br><br><br><br>[yellow]可在杂货商处购买得到[/yellow],,1,2031,,0,0,0,1,1,0,0
2032,2032,活络丹,2,1,0,10000,10000,20,,100,6,3,1,0,0,1,126,0,0,1238,1238,1238,0,4418,1008,0,利用药性缓慢的疏通经脉，使得血流顺畅，缓慢的恢复法力<br><br><br><br><br>[blue]使用后每2秒恢复100点法力值，一共持续10秒[/blue]<br><br><br><br>[yellow]可在杂货商处购买得到[/yellow],,1,2033,,0,0,0,1,1,0,0
2033,2033,还阳丹,2,1,0,10000,10000,30,,100,10,4,1,0,0,1,126,0,0,1239,1239,1239,0,4418,1008,0,服下此药，可推动全身法力周身游动，对恢复法力有一定的作用<br><br><br><br><br>[blue]使用后每2秒恢复100点法力值，一共持续10秒[/blue]<br><br><br><br>[yellow]可在杂货商处购买得到[/yellow],,1,2033,,0,0,0,1,1,0,0
2034,2034,大还丹,2,1,0,10000,10000,40,,100,15,5,1,0,0,1,126,0,0,1240,1240,1240,0,4418,1008,0,名贵药材制成，可有效地恢复损耗的法力，使人全身精神为之一振<br><br><br><br><br>[blue]使用后每2秒恢复150点法力值，一共持续10秒[/blue]<br><br><br><br>[yellow]可在杂货商处购买得到[/yellow],,1,2034,,0,0,0,1,1,0,0
2035,2035,排云丹,2,1,0,10000,10000,50,,100,20,6,1,0,0,1,126,0,0,1241,1241,1241,0,4418,1008,0,传闻其药方由扁鹊所创，服下后可大为缓解疲劳之感，可快速补充大量消耗的法力<br><br><br><br><br>[blue]使用后每2秒恢复200点法力值，一共持续10秒[/blue]<br><br><br><br>[yellow]可在杂货商处购买得到[/yellow],,1,2035,,0,0,0,1,1,0,0
